Date,BAC,National,Diamond,Spencer,Pearce
7/1/2014,15.6584375,17.96364583,19.7709375,20.23177083,19.39973168
7/2/2014,15.16083333,18.08020833,19.62729167,20.23,19.22483584
7/3/2014,14.63416667,17.15739583,19.77666667,20.30979167,18.79146779
7/4/2014,14.7078125,16.8828125,19.00041667,19.72552083,18.46573862
7/5/2014,14.96864583,16.62885417,18.66020833,19.32,18.35462751
7/6/2014,15.17333333,16.95770833,18.45260417,19.0084375,18.46327334
7/7/2014,15.3034375,17.1421875,18.439375,18.71416667,18.56372473
7/8/2014,15.6915625,17.3825,19.09395833,19.496875,18.99139834
7/9/2014,15.108125,17.6640625,19.14854167,19.59375,18.90896779
7/10/2014,14.8978125,17.25989583,19.09947917,19.56458333,18.68778723
7/11/2014,15.160625,16.77010417,18.7328125,19.29520833,18.48990529
7/12/2014,15.26697917,16.9946875,18.56739583,19.10666667,18.5450789
7/13/2014,15.209375,17.37947917,18.65958333,19.04583333,18.68487057
7/14/2014,15.7090625,17.19604167,19.08184783,19.34604167,18.93104207
7/15/2014,16.05270833,17.4309375,18.95427083,19.41677083,19.08136362
7/16/2014,15.65510417,17.80791667,18.87895833,19.3475,19.04938446
7/17/2014,15.513125,17.76760417,19.1675,19.32541667,19.08480112
7/18/2014,15.18104167,17.43458333,19.226875,19.66145833,18.8828914
7/19/2014,15.059375,17.13864583,18.798125,19.236875,18.60077334
7/20/2014,15.538125,17.00395833,18.56739583,19.0603125,18.63855112
7/21/2014,15.75447917,17.15885417,18.641875,19.07416667,18.78712751
7/22/2014,15.55458333,17.4975,18.6965625,19.16895833,18.85160668
7/23/2014,15.40239583,17.52875,18.92479167,19.30697917,18.88737057
7/24/2014,15.49572917,17.21885417,18.98895833,19.3203125,18.83657196
7/25/2014,15.60697917,17.1884375,18.64197917,19.15229167,18.74785668
7/26/2014,15.8853125,17.18052083,18.63833333,18.95291667,18.83678029
7/27/2014,16.01760417,17.6525,18.68927083,19.1846875,19.05518307
7/28/2014,16.02145833,17.85947917,18.76208333,19.1178125,19.14973168
7/29/2014,15.64166667,17.67083333,19.10572917,19.268125,19.07480112
7/30/2014,15.89447917,17.6325,19.30197917,19.8103125,19.21171085
7/31/2014,15.6225,17.67958333,19.29020833,19.839375,19.13282195
8/1/2014,15.59145833,17.501875,19.22,19.61354167,19.03983584
8/2/2014,15.42322917,17.44125,19.0215625,19.59625,18.89740529
8/3/2014,15.55239583,17.1053125,18.73447917,19.1671875,18.73278723
8/4/2014,15.64229167,17.0778125,18.571875,18.953125,18.69938446
