Date,BAC,National,Diamond,GPP_prediction
4/28/2018,4.639452417,3.058142903,2.605567795,1.386690349
4/29/2018,3.657075908,2.901353511,2.591209234,1.002182195
4/30/2018,1.242712356,3.874674876,2.88365574,0.619316968
5/1/2018,1.734048312,3.530034117,1.393467913,0.171486092
5/2/2018,3.342422952,NA,1.689880366,0.411477901
5/3/2018,3.849064763,2.87692076,1.986292818,0.856395425
5/4/2018,5.699251674,4.319423166,2.282705271,2.052762681
5/5/2018,3.072486358,3.920505021,2.583121749,1.144340354
5/6/2018,2.029182994,2.542840179,2.278084237,0.235671781
5/7/2018,1.096107814,2.300843869,1.973046725,0
5/8/2018,4.494957002,1.664745799,2.081125806,0.699245513
5/9/2018,40.10912473,30.12415834,10.11495918,24.73505006
5/10/2018,4.573094551,NA,8.170751223,4.267249129
5/11/2018,4.484922418,2.794389583,6.226543266,2.4542544
5/12/2018,4.044340824,3.83125334,4.282335308,2.004945802
5/13/2018,2.7178936,4.398440739,2.338127351,1.103789874
5/14/2018,3.347682064,5.054320933,2.509815093,1.589575341
5/15/2018,3.707176802,4.612380502,1.979864234,1.385443157
5/16/2018,5.213058003,4.984042675,10.12444259,4.7261504
5/17/2018,5.638131551,5.679617537,12.63470489,5.93645397
5/18/2018,5.904736397,4.9240132,15.14496719,6.61020824
5/19/2018,5.254790456,5.00850741,17.65522948,7.258478426
5/20/2018,3.441700581,5.284207965,20.16549178,7.58276942
5/21/2018,2.517753799,3.921905078,1.28495197,0.527172927
5/22/2018,4.419015792,3.996001666,1.515691202,1.262538864
5/23/2018,5.75432859,4.453905596,10.10390008,4.723014066
5/24/2018,6.512975681,5.369034005,1.234248088,2.324388569
5/25/2018,6.220406151,4.718542166,20.1413625,8.31240625
5/26/2018,5.761048085,4.728524165,1.647680778,1.998053654
5/27/2018,3.034572086,5.038954879,2.832177045,1.587537314
5/28/2018,3.073711584,5.009684206,2.463262605,1.467855443
5/29/2018,5.660498722,4.22162233,1.805444018,1.848157668
5/30/2018,5.584537382,3.610973311,2.300156206,1.784191611
5/31/2018,5.3724306,NA,1.613784083,1.388433584
